benchmark	visibility	visible	invisible	ratio
avrora	64	724710	393860	0.3521102836657518
avrora	128	899349	219221	0.19598326434644234
avrora	256	1005826	112744	0.10079297674709674
avrora	512	1063055	55515	0.0496303315840761
avrora	1024	1091227	27343	0.024444603377526665
avrora	2048	1105340	13230	0.011827601312389927
avrora	4096	1112362	6208	0.005549943231089695
avrora	8192	1115953	2617	0.0023395943034410006
avrora	16384	1117657	913	0.0008162207103712776
avrora	32768	1118570	0	0.0
avrora	65536	1118570	0	0.0
graphchi	64	11735494	4122575	0.25996702372779434
graphchi	128	13738032	2120037	0.1336882189124035
graphchi	256	14790816	1067253	0.06730031254120536
graphchi	512	15328075	529994	0.03342109307255505
graphchi	1024	15595037	263032	0.016586634854470615
graphchi	2048	15731640	126429	0.007972534360898544
graphchi	4096	15799324	58745	0.0037044232812961024
graphchi	8192	15833064	25005	0.0015767997982604313
graphchi	16384	15849469	8600	0.0005423106684678948
graphchi	32768	15858069	0	0.0
graphchi	65536	15858069	0	0.0
h2	64	45000798	15732687	0.2590446933845473
h2	128	52929806	7803679	0.1284905517936275
h2	256	56962712	3770773	0.06208721597319831
h2	512	58858316	1875169	0.030875372951181708
h2	1024	59808721	924764	0.015226592052143887
h2	2048	60282355	451130	0.0074280275534987
h2	4096	60520615	212870	0.003504985758679911
h2	8192	60641277	92208	0.0015182398968213333
h2	16384	60702925	30560	0.0005031820584641241
h2	32768	60733485	0	0.0
h2	65536	60733485	0	0.0
cassandra	64	29319098	17460339	0.3732481645728229
cassandra	128	37292420	9487017	0.20280314617724024
cassandra	256	41987019	4792418	0.1024471072621075
cassandra	512	44388942	2390495	0.05110140594466753
cassandra	1024	45605860	1173577	0.025087454558292355
cassandra	2048	46213914	565523	0.0120891365152599
cassandra	4096	46517340	262097	0.005602825019035608
cassandra	8192	46670487	108950	0.0023290147763001083
cassandra	16384	46743330	36107	0.0007718562324724002
cassandra	32768	46779437	0	0.0
cassandra	65536	46779437	0	0.0
luindex	64	2354891	1060063	0.31041794413629
luindex	128	2798242	616712	0.18059159801274044
luindex	256	3101073	313881	0.09191368317113495
luindex	512	3257858	157096	0.046002376605951356
luindex	1024	3338806	76148	0.02229839699158466
luindex	2048	3378634	36320	0.010635575179050729
luindex	4096	3397623	17331	0.005075031757382383
luindex	8192	3407880	7074	0.0020714773903250236
luindex	16384	3412394	2560	0.0007496440654837517
luindex	32768	3414954	0	0.0
luindex	65536	3414954	0	0.0
zxing	64	94053	45620	0.3266200339364086
zxing	128	112443	27230	0.19495536001947406
zxing	256	125541	14132	0.10117918280555296
zxing	512	132880	6793	0.04863502609666865
zxing	1024	136386	3287	0.023533539051928433
zxing	2048	138091	1582	0.011326455363599264
zxing	4096	138953	720	0.005154897510614077
zxing	8192	139382	291	0.0020834377438731897
zxing	16384	139582	91	0.0006515217687026125
zxing	32768	139673	0	0.0
zxing	65536	139673	0	0.0
xalan	64	10822528	5511322	0.33741720414966464
xalan	128	13060889	3272961	0.20037902882663916
xalan	256	14597124	1736726	0.10632679986653483
xalan	512	15475241	858609	0.052566235149704446
xalan	1024	15910907	422943	0.025893650302898582
xalan	2048	16131004	202846	0.012418750019132048
xalan	4096	16239837	94013	0.005755715890619787
xalan	8192	16295210	38640	0.002365639454262161
xalan	16384	16319776	14074	0.0008616462132320304
xalan	32768	16333850	0	0.0
xalan	65536	16333850	0	0.0
tomcat	64	33689379	17233987	0.33842984770488266
tomcat	128	41296364	9627002	0.18904881503708926
tomcat	256	46099613	4823753	0.09472572963853175
tomcat	512	48536478	2386888	0.04687215687981034
tomcat	1024	49741767	1181599	0.023203474020158054
tomcat	2048	50347951	575415	0.011299626187318411
tomcat	4096	50655356	268010	0.0052630063770725604
tomcat	8192	50809073	114293	0.002244411730363621
tomcat	16384	50884225	39141	0.0007686255460803593
tomcat	32768	50923366	0	0.0
tomcat	65536	50923366	0	0.0
sunflow	64	46067775	56651863	0.551519301499096
sunflow	128	73941121	28778517	0.28016567776455753
sunflow	256	88362443	14357195	0.13977069311712334
sunflow	512	95579166	7140472	0.0695141857879211
sunflow	1024	99182613	3537025	0.03443377594457644
sunflow	2048	100979503	1740135	0.01694062628997972
sunflow	4096	101895895	823743	0.008019333167821328
sunflow	8192	102364965	354673	0.0034528256417726082
sunflow	16384	102598766	120872	0.0011767175425598754
sunflow	32768	102719638	0	0.0
sunflow	65536	102719638	0	0.0
fop	64	1515571	734664	0.32648323397334056
fop	128	1827598	422637	0.18781905001033225
fop	256	2031346	218889	0.09727384028779217
